Strategy,Strike,Expiry,60d ROI (%)
ST 10/2.0,ITM3,30d,-161.23
ST 10/2.0,OTM3,30d,-161.23
ST 10/2.0,ATM,30d,-161.23
ST 10/1.0,ATM,30d,-343.7
ST 10/1.0,OTM3,30d,-343.7
ST 10/1.0,ITM3,30d,-343.7
ST 10/1.5,ATM,30d,-383.47
ST 10/1.5,OTM3,30d,-383.47
ST 10/1.5,ITM3,30d,-383.47
ST 10/2.0,ATM,7d,-645.25
ST 10/2.0,ITM3,7d,-654.03
ST 10/2.0,ITM3,3d,-654.03
ST 10/2.0,OTM3,7d,-654.03
ST 10/2.0,OTM3,3d,-654.03
ST 10/2.0,ATM,3d,-654.03
ST 10/1.5,ITM3,7d,-1081.87
ST 10/1.5,OTM3,7d,-1081.87
ST 10/1.5,ITM3,3d,-1081.87
ST 10/1.5,OTM3,3d,-1081.87
ST 10/1.5,ATM,7d,-1081.87
ST 10/1.5,ATM,3d,-1081.87
ST 10/1.0,ATM,7d,-1382.1
ST 10/1.0,ITM3,7d,-1382.1
ST 10/1.0,ITM3,3d,-1382.1
ST 10/1.0,OTM3,7d,-1382.1
ST 10/1.0,OTM3,3d,-1382.1
ST 10/1.0,ATM,3d,-1382.1
